epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.914465600369024,6.96219,0.1,0.504
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.914465600369024,6.96219,0.1,0.504
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.914465600369024,6.96219,0.1,0.504
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.92253013757559,6.97139625,0.09,0.514
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.92253013757559,6.97139625,0.09,0.514
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.92253013757559,6.97139625,0.09,0.514
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.913263222750495,6.9622225,0.1,0.498
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.913263222750495,6.9622225,0.1,0.498
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.913263222750495,6.9622225,0.1,0.498
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.922092722012446,6.971433913879395,0.092,0.514
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.922092722012446,6.971433913879395,0.092,0.514
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.922092722012446,6.971433913879395,0.092,0.514
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.913895046009737,6.962111349334717,0.1,0.496
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.913895046009737,6.962111349334717,0.1,0.496
epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.913895046009737,6.962111349334717,0.1,0.496
epoch,train_loss,eval_loss,eval_top1,eval_top5
1,6.667820893801176,6.9539015209960935,0.1,0.53
epoch,train_loss,eval_loss,eval_top1,eval_top5
1,6.667820893801176,6.9539015209960935,0.1,0.53
epoch,train_loss,eval_loss,eval_top1,eval_top5
1,6.667820893801176,6.9539015209960935,0.1,0.53
epoch,train_loss,eval_loss,eval_top1,eval_top5
1,6.651384601406023,6.930074921264649,0.126,0.654
epoch,train_loss,eval_loss,eval_top1,eval_top5
1,6.651384601406023,6.930074921264649,0.126,0.654
epoch,train_loss,eval_loss,eval_top1,eval_top5
1,6.651384601406023,6.930074921264649,0.126,0.654
epoch,train_loss,eval_loss,eval_top1,eval_top5
2,6.403474706869859,6.937427067260742,0.142,0.588
epoch,train_loss,eval_loss,eval_top1,eval_top5
2,6.403474706869859,6.937427067260742,0.142,0.588
epoch,train_loss,eval_loss,eval_top1,eval_top5
2,6.403474706869859,6.937427067260742,0.142,0.588
epoch,train_loss,eval_loss,eval_top1,eval_top5
