epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.934664331949675,6.951673313903808,0.098,0.5
1,6.779285091620225,6.944066926116943,0.098,0.502
2,6.506201569850628,6.938832445983887,0.096,0.502
3,6.294415042950557,6.937492605133056,0.106,0.506
4,6.1407723885316114,6.9404116860961915,0.112,0.514
5,5.997134529627287,6.9461179711914065,0.108,0.514
6,5.859765859750601,6.95131129776001,0.11,0.554
7,5.724519610404968,6.944094623260498,0.168,0.706
8,5.607898959746728,6.911143483734131,0.214,0.868
9,5.525089007157546,6.846803979949951,0.27,1.014
10,5.459764278852022,6.748828806304932,0.362,1.322
11,5.37816164126763,6.624208202667236,0.49,2.1059999999427794
12,5.333209890585679,6.478538931732178,0.74,3.288000001449585
13,5.281302873904888,6.323922239532471,1.2659999999809266,5.016000000152588
14,5.2352220461918755,6.163736267395019,2.205999999961853,7.2299999984741214
15,5.199467613146855,6.006148800201416,3.269999999961853,9.979999998321533
16,5.145487391031706,5.855747776641846,4.385999999961853,12.655999999084473
17,5.116122915194585,5.721381999969482,5.39799999994278,15.016000004577636
18,5.071034596516536,5.610083963165283,6.1040000006866455,16.934000001220703
19,5.052904596695533,5.515443212585449,6.6840000010681155,18.43600000274658
20,5.019438679401691,5.44123431564331,7.058000000686645,19.45799999908447
21,4.9982796632326565,5.379498787536621,7.425999999008178,20.229999995422364
22,4.9837902050751905,5.329895387573242,7.690000002593994,20.965999998168947
23,4.936600960217989,5.276036867980957,8.028000002136231,21.790000004882813
24,4.925982942947974,5.208729315338135,8.607999999694824,22.966000001831055
25,4.912006644102243,5.128947023773193,9.35200000076294,24.38400000366211
26,4.884867603962238,5.036027698516846,10.289999995422363,26.196000005493165
27,4.87404846228086,4.926045326385498,11.460000006103515,28.30799999328613
28,4.84818355853741,4.799436728668213,12.942000002746582,30.681999984130858
29,4.842987161416274,4.644537872314453,14.755999996948242,33.87400001342773
30,4.811050020731413,4.480560921936035,16.840000002441407,37.04800001586914
31,4.808638068345877,4.304699335784912,19.06799998901367,40.478000006103514
32,4.779459118843079,4.114042254867554,21.71200000671387,44.42599999755859
33,4.782516433642461,3.9191081063842774,24.454000002441408,48.167999981689455
34,4.756241798400879,3.7304413817596433,27.081999990234376,51.77399999145508
35,4.756517446958101,3.5472815855407713,29.859999998779298,55.098
36,4.756751858271086,3.364507670211792,32.83200001586914,58.44199999267578
37,4.731543825222896,3.1952829921722414,35.60800000732422,61.49200002441406
38,4.727297654518714,3.034059688034058,38.19600002563477,64.26800000976563
39,4.709458617063669,2.882772560424805,40.74400000976563,66.81599997558594
40,4.692272974894597,2.743515648422241,42.89799999755859,69.10600001953125
